Attraction,Address,Website,Description,Photo URL,Latitude,Longitude
Canal Park,"Canal Park, Duluth, MN 55802",https://canalpark.com/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",https://miro.medium.com/v2/resize:fit:1000/1*bX-xl4ejzLDUqYSqz_gruw.jpeg,46.7832,-92.0951
Aerial Lift Bridge,"601 S Lake Ave, Duluth, MN 55802",https://visitduluth.com/lake-superior/aerial-lift-bridge/,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1929-30, the span was converted to a vertical lift bridge, and continues to operate today.",https://img.marinas.com/v2/52e1f1a54b4f432bbb5cca0bcdb304b02b469dab50707fc9e222adde54ee6f74.jpg,46.779,-92.0929
Spirit Mountain Recreation Area,"9500 Spirit Mountain Pl, Duluth, MN 55810",https://www.spiritmt.com/,Recreational mountain featuring wintertime downhill skiing and a summertime adventure park.,https://cdn.forumcomm.com/dims4/default/c77d322/2147483647/strip/true/crop/4860x3240+162+0/resize/1680x1120!/quality/90/?url=https:%2F%2Ffcc-cue-exports-brightspot.s3.us-west-2.amazonaws.com%2Fduluthnewstribune%2Fbinary%2FSpirit%20Mountain_binary_6507669.jpg,46.7183,-92.2167
Glensheen,"3300 London Rd, Duluth, MN 55804",https://glensheen.d.umn.edu/,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",https://media-api.xogrp.com/images/6c418683-5aa0-46cb-9d44-b084aadefa0b,46.8161,-92.0501
Great Lakes Aquarium,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",https://glaquarium.org/wp-content/uploads/2020/01/Aquarium-drone-photo.jpg,46.779,-92.1
Jay Cooke State Park,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River. The park is located about 10 miles southwest of Duluth and is one of the ten most visited state parks in Minnesota. The western half of the park contains part of a rocky, 13-mile gorge.",https://www.exploreminnesota.com/sites/default/files/listing_images/b1b77b31e2754dd6cd5bc2bb3fa7fe8b9102fab5_37.jpg,46.6523,-92.3503
North Shore Scenic Railroad,"506 W Michigan St, Duluth, MN 55802",https://duluthtrains.com/,"Seasonal narrated train tours follow a historic transport corridor for short, long & themed rides.",https://lakesuperiorcircletour.info/wp-content/uploads/2023/06/North-Shore-Scenic-Railroad-Duluth-Lake-Superior-Train-Rides-2-1024x703.jpg,46.7813,-92.1034
The Portland Malt Shoppe,,https://www.portlandmaltshoppe.fun/,Best malts in town! Check out the view of the Lake from the adjacent pier.,https://tse2.mm.bing.net/th/id/OIP.1Set8NWMPXm_bC0V4HxxJAHaD5?pid=Api,46.793139,-92.089556
Enger Park,,https://duluthmn.gov/parks/parks-trails/parks-listing/enger-park/,Prominent point in duluth with a 360 view! It was dedicated by Norwegian royalty and has a Zen garden,https://visitduluth.com/wp-content/uploads/2023/07/DLTH21_FallShoot-MH_EngerTower_2-1-scaled.jpg,46.77575,-92.124361
Park Point Beach,,https://visitduluth.com/experience/signature-sights/park-point/,The world's longest freshwater sandbar!,https://canalpark.com/wp-lib/wp-content/uploads/2016/06/wisconsin-point-beach-state-park-beach-and-waves-1024x683.jpg,46.771778,-92.088
